date,zone,district,flooding_point,direction,reference,start,period,type
01/01/2019,Zona Norte,Perus,R. CRISPIM DO AMARAL,CENTRO/BAIRRO,ALTURA DO NÚMERO 102,17:16,22:29,INTRANSITÁVEL
01/01/2019,Zona Norte,Perus,PÇ INACIO DIAS,AMBOS,RUA CRISPIM DO AMARAL,17:33,22:29,INTRANSITÁVEL
01/01/2019,Zona Norte,Perus,RUA FRANCIS DE CASTELNAU,AMBOS,ALTURA DO NUMERO 10,18:01,22:29,INTRANSITÁVEL
01/01/2019,Zona Norte,Perus,AV. RAIMUNDO PEREIRA DE MAGALHAES,CENTRO/BAIRRO,ALTURA DO NÚMERO 16271,19:04,21:09,INTRANSITÁVEL
01/01/2019,Centro,Sé,PÇ. DA BANDEIRA,CENTRO/BAIRRO,AV. VINTE E TRES DE MAIO,18:34,19:23,INTRANSITÁVEL
01/01/2019,Zona Oeste,Pinheiros,AV. DAS NACOES UNIDAS,INTERLAGOS/CASTELO,AV QUEIROZ FILHO,19:52,21:00,TRANSITÁVEL
01/01/2019,Zona Leste,Itaquera,AV. JACU PESSEGO N TRABALHADORES,MAUA/A SENNA,R. MONTANHAS,16:25,17:23,TRANSITÁVEL
01/01/2019,Zona Leste,Itaquera,AV. JACU PESSEGO N TRABALHADORES,A SENNA/MAUA,R. RAINHA-DA-NOITE,18:20,18:26,TRANSITÁVEL
01/01/2019,Zona Leste,Itaquera,AV. JACU PESSEGO N TRABALHADORES,MAUA/A SENNA - LOCAL,R. MONTANHAS,19:21,17:23,TRANSITÁVEL
01/01/2019,Zona Leste,Itaim Paulista,RUA MANUEL B. DE LIMA,AMBOS,SEM NUMERO,16:12,17:30,INTRANSITÁVEL
01/01/2019,Zona Leste,Mooca,AV. SALIM FARAH MALUF,MARGINAL/V PRUDENTE - EXPRESSA,R. DEMETRIO RIBEIRO,19:19,19:32,TRANSITÁVEL
02/01/2019,Zona Leste,Itaquera,AV. ADRIANO BERTOZZI,CENTRO/BAIRRO,ALTURA DO NÚMERO 125,15:05,15:22,TRANSITÁVEL
03/01/2019,Centro,Sé,PÇ DA BANDEIRA,CENTRO/BAIRRO,ALTURA DO NÚMERO 27,17:27,17:42,TRANSITÁVEL
03/01/2019,Centro,Sé,AV. VINTE E TRES DE MAIO (LIBERDADE),SANTANA/AEROPORTO,PÇ DA BANDEIRA,19:43,20:18,TRANSITÁVEL
03/01/2019,Centro,Sé,TN. PAPA JOAO PAULO II (REPUBLICA),SANTANA/AEROPORTO,AV PRESTES MAIA,19:52,20:04,TRANSITÁVEL
03/01/2019,Centro,Sé,AV. PRES CASTELO BRANCO (BARRA FUNDA),CASTELO B/A SENNA,VD ENG JOAO BIRMAN,19:56,21:00,INTRANSITÁVEL
04/01/2019,Zona Norte,Vila Maria/Vila Guilherme,R. CHICO PONTES,UNICO,ALTURA DO NÚMERO 1349,15:11,15:54,INTRANSITÁVEL
04/01/2019,Centro,Sé,R. DA. CANTAREIRA,BAIRRO/CENTRO,AV. MERCURIO,14:45,15:03,TRANSITÁVEL
04/01/2019,Centro,Sé,R. PAULA SOUSA,AMBOS - LOCAL,AV. DO ESTADO,15:04,15:53,TRANSITÁVEL
04/01/2019,Centro,Sé,AV. MERCÚRIO,UNICO,PC. S. VITO,15:56,17:56,TRANSITÁVEL
04/01/2019,Centro,Sé,AV. SEN. QUEIROS,UNICO,ALTURA DO NÚMERO 587,17:52,19:30,TRANSITÁVEL
04/01/2019,Zona Oeste,Lapa,PC. PASCOAL MARTINS,BAIRRO/CENTRO,AV. MARQ. DE SAO VICENTE,15:53,18:49,TRANSITÁVEL
04/01/2019,Zona Oeste,Pinheiros,MARGINAL PINHEIROS,INTERLAGOS/CASTELO - EXPRESSA,PTE ENG ARY TORRES,15:15,15:33,TRANSITÁVEL
04/01/2019,Zona Leste,Mooca,MARGINAL TTIETE,CASTELO B/A SENNA - CENTRAL,PTE PRES JANIO QUADROS,14:59,15:22,TRANSITÁVEL
04/01/2019,Zona Leste,Mooca,AV. CELSO GARCIA,AMBOS,PC MAJ GUILHERME RUDGE,18:41,19:10,TRANSITÁVEL
04/01/2019,Zona Leste,Vila Prudente,R. JOSÉ ZAPPI,AMBOS,ALTURA DO NÚMERO 165,18:20,19:00,TRANSITÁVEL
04/01/2019,Zona Sul,Campo Limpo,AV. MAGALHAES DE CASTRO,CASTELO/INTERLAGOS - LOCAL,PTE DO MORUMBI CAIO POMPEU DE TOLEDO,14:26,15:25,TRANSITÁVEL
04/01/2019,Zona Sul,M'Boi Mirim,PC. DOM. FRANCISCO DE SOUSA,CENTRO/BAIRRO,AV. VITOR MANZINI,14:26,16:31,TRANSITÁVEL
04/01/2019,Zona Sul,Santo Amaro,MARGINAL PINHEIROS,CAST B/INT - EXP,PONTE DO MORUMBI,14:26,15:25,TRANSITÁVEL
04/01/2019,Zona Sul,Santo Amaro,AV. DAS NACOES UNIDAS,INTERLAGOS/CASTELO - LOCAL,PTE TRANSAMERICA,14:34,15:27,TRANSITÁVEL
04/01/2019,Zona Sul,Santo Amaro,AV. ROQUE PETRONI JUNIOR,AMBOS,R. CANCIONEIRO POPULAR,14:47,15:03,TRANSITÁVEL
04/01/2019,Zona Sudeste,Ipiranga,PÇ LEONOR KAUPA,AMBOS,AV ABRAÃO DE MORAIS,14:34,15:18,INTRANSITÁVEL
04/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,AMBOS,R ELISA SILVEIRA / AV MIGUEL ESTEFNO,14:48,15:19,TRANSITÁVEL
04/01/2019,Zona Sudeste,Vila Mariana,AV. FAGUNDES FILHO,CENTRO/BAIRRO,AV PROF ABRAAO DE MORAIS,14:55,15:21,TRANSITÁVEL
04/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,S PAULO/SANTOS,R IBIRAREMA / R RIBEIRO LACERDA,15:02,15:19,TRANSITÁVEL
06/01/2019,Zona Norte,Jaçanã/Tremembé,AV. EDU CHAVES,AMBOS,AV. SANATÓRIO,19:54,20:34,INTRANSITÁVEL
08/01/2019,Centro,Sé,PÇ DA BANDEIRA,CENTRO/BAIRRO,AV. VINTE E TRES DE MAIO,16:22,17:47,INTRANSITÁVEL
08/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,AV. DUQUE DE CAXIAS,17:09,17:57,TRANSITÁVEL
08/01/2019,Zona Leste,Mooca,AV. ARICANDUVA,AMBOS,AV. LATINOS,16:20,17:51,INTRANSITÁVEL
08/01/2019,Zona Leste,Mooca,RUA BRESSER,AMBOS,VD. BRESSER,17:13,17:29,INTRANSITÁVEL
08/01/2019,Zona Leste,Vila Prudente,AV. LUIZ INACIO DE ANHAIA MELO,AMBOS,PÇ RUY ROXA,16:15,18:15,INTRANSITÁVEL
08/01/2019,Zona Leste,Vila Prudente,AV. LUIZ INACIO DE ANHAIA MELO,AMBOS,R. IBITIRAMA,16:17,18:15,INTRANSITÁVEL
08/01/2019,Zona Leste,Vila Prudente,AV. LUIZ INACIO DE ANHAIA MELO,AMBOS,AV. FRANCISCO FALCONE,16:21,18:15,INTRANSITÁVEL
08/01/2019,Zona Sudeste,Ipiranga,AV. LACERDA FRANCO,AMBOS,ALTURA DO NÚMERO 1855,16:48,18:20,TRANSITÁVEL
08/01/2019,Zona Sudeste,Ipiranga,RUA DAS JUNTAS PROVISÓRIAS,AMBOS,RUA 02 DE JULHO,17:04,17:30,INTRANSITÁVEL
08/01/2019,Zona Sudeste,Ipiranga,AV. TEREZA CRISTINA,AMBOS,R. TABOR,17:09,17:49,INTRANSITÁVEL
10/01/2019,Zona Oeste,Butantã,PTE OCTAVIO FRIAS DE OLIVEIRA,CENTRO/BAIRRO,ALTURA DO NÚMERO 0,22:37,0:56,TRANSITÁVEL
10/01/2019,Zona Oeste,Pinheiros,AV. DAS NACOES UNIDAS,INT/CASTELO - LOCAL,AV. PRES. JUSCELINO KUBITSCHEK,23:18,0:45,TRANSITÁVEL
10/01/2019,Zona Oeste,Pinheiros,AV. DAS NACOES UNIDAS,INT/CASTELO - LOCAL,R. OLIVIA FEDER,23:20,0:41,TRANSITÁVEL
10/01/2019,Zona Sul,Santo Amaro,AV. JORN. ROBERTO MARINHO,AMBOS,AV. SANTO AMARO,22:45,23:20,INTRANSITÁVEL
10/01/2019,Zona Sul,Santo Amaro,AV. INTERLAGOS,AMBOS,AV. YERVANT KISSAJKIAN,22:58,23:36,INTRANSITÁVEL
10/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,AMBOS,PÇ. LEONOR KAUPA,22:40,23:25,INTRANSITÁVEL
10/01/2019,Zona Sudeste,Vila Mariana,AV. PROF ABRAAO DE MORAIS,AMBOS,R. RIBEIRO LACERDA,22:47,23:25,INTRANSITÁVEL
11/01/2019,Zona Norte,Santana,MARGINAL TIETE,A SENNA/CASTELO B - AUXILIAR,PTE DAS BANDEIRAS SEN ROMEU TUMA,16:22,17:56,TRANSITÁVEL
11/01/2019,Zona Norte,Santana,MARGINAL TIETE,A SENNA/CASTELO B - CENTRAL,PTE DAS BANDEIRAS SEN ROMEU TUMA,17:40,17:45,TRANSITÁVEL
11/01/2019,Zona Oeste,Pinheiros,AL SANTOS,UNICO,R. PEIXOTO GOMIDE,1:19,1:44,TRANSITÁVEL
11/01/2019,Zona Oeste,Pinheiros,AV. CIDADE JARDIM,CENTRO/BAIRRO,R. FRANZ SCHUBERT,8:12,9:57,TRANSITÁVEL
11/01/2019,Zona Sul,M'Boi Mirim,ES. M BOI MIRIM,AMBOS,R. CLAMECY,17:25,17:46,INTRANSITÁVEL
13/01/2019,Zona Sul,Parelheiros,AV. SEN TEOTONIO VILELA,BAIRRO/CENTRO,R. RUBEN DARIO,15:53,,TRANSITÁVEL
14/01/2019,Zona Leste,Aricanduva/Vila Formosa,AV. ARICANDUVA,MARGINAL/ITAQUERA - ESQUERDA,R. JULIO COLACO,18:00,18:15,INTRANSITÁVEL
14/01/2019,Zona Leste,Itaquera,AV. ITAQUERA,BAIRRO/CENTRO,R. TOMAZZO FERRARA,18:19,18:36,INTRANSITÁVEL
14/01/2019,Zona Leste,Mooca,AV. CELSO GARCIA,CENTRO/BAIRRO - LOCAL,R. SALDANHA MARINHO,17:39,18:35,TRANSITÁVEL
14/01/2019,Zona Sul,Cidade Ademar,AV. INTERLAGOS,AMBOS,R. ENG DAGOBERTO SALLES FILHO,16:41,17:10,INTRANSITÁVEL
14/01/2019,Zona Sul,Santo Amaro,AV. DAS NACOES UNIDAS,AMBOS,R. JAIME DE OLIVEIRA SOUZA,16:46,17:47,INTRANSITÁVEL
14/01/2019,Zona Sudeste,Vila Mariana,AV. DAS NACOES UNIDAS,AMBOS,VD. GAL EUCLIDES DE FIGUEIREDO,17:40,17:45,INTRANSITÁVEL
16/01/2019,Zona Leste,Penha,AV. AIRTON PRETINI,BAIRRO/CENTRO,VD. ENG ALBERTO BADRA,5:11,5:28,TRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,MARGINAL TIETE,A SENNA/CASTELO B - EXP,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,18:32,21:53,TRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. ANTONIO MUNHOZ BONILHA,AMBOS,AV NSRA DO O,18:41,19:02,INTRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. NSRA. DO O,AMBOS,AV. ANTONIO MUNHOZ BONILHA,18:58,19:02,INTRANSITÁVEL
17/01/2019,Zona Norte,Casa Verde,AV. NSRA. DO O,CENTRO/BAIRRO,AV. PROF CELESTINO BOURROUL,19:09,19:42,TRANSITÁVEL
17/01/2019,Centro,Sé,R. MANOEL DUTRA,UNICO,PÇ. QUATORZE BIS,18:37,19:22,INTRANSITÁVEL
17/01/2019,Centro,Sé,PÇ DA BANDEIRA,CENTRO/BAIRRO,AV. VINTE E TRES DE MAIO,18:41,19:27,INTRANSITÁVEL
17/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,AV. DUQUE DE CAXIAS,18:57,19:35,TRANSITÁVEL
17/01/2019,Centro,Sé,P. QUATORZE BIS,AMBOS,AV. NOVE DE JULHO,19:03,19:23,INTRANSITÁVEL
17/01/2019,Zona Oeste,Butantã,AV. VITAL BRASIL,BAIRRO/CENTRO,PÇ. JORGE DE LIMA,18:23,19:48,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. SUMARE,AMBOS,R. DR. HOMEM DE MELO,18:24,18:30,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. POMPEIA,AMBOS,R. PALESTRA ITALIA,18:24,19:08,INTRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,R. BR DO BANANAL,AMBOS,R VENANCIO AIRES,18:29,19:36,INTRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,PÇ. PASCOAL MARTINS,AMBOS,AV. MARQ. DE SAO VICENTE,18:36,19:55,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,AV. MARQ DE SAO VICENTE,AMBOS,PÇ LUIZ CARLOS MESQUITA,19:12,19:55,TRANSITÁVEL
17/01/2019,Zona Oeste,Lapa,MARGINAL TIETE,CASTELO B/A SENNA - CENTRAL,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,19:17,20:48,TRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,TN. MAX FEFFER,AMBOS,AV. CIDADE JARDIM,18:07,18:15,TRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,R. HARMONIA,AMBOS,R. LUIS MURAT,18:10,18:40,INTRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,R. HENRIQUE SCHAUMANN,IBIRAPUERA/SUMARE,AV. REBOUCAS,18:20,18:43,INTRANSITÁVEL
17/01/2019,Zona Oeste,Pinheiros,PÇ. PAN-AMERICANA,BAIRRO/CENTRO,AV. PEDROSO DE MORAIS,19:10,21:02,TRANSITÁVEL
17/01/2019,Zona Leste,Mooca,AV. CELSO GARCIA,CENTRO/BAIRRO,R. SALDANHA MARINHO,19:37,20:24,TRANSITÁVEL
17/01/2019,Zona Leste,Penha,MARGINAL TIETE,CASTELO B/A SENNA - EXP,PTE. ARICANDUVA - DR. MIGUEL ARRAES,21:49,21:53,TRANSITÁVEL
17/01/2019,Zona Sul,Santo Amaro,AV. DAS NACOES UNIDAS,INTERLAGOS/CASTELO - LOCAL,R. ACARI,17:34,19:25,TRANSITÁVEL
17/01/2019,Zona Sudeste,Vila Mariana,AV. VINTE E TRES DE MAIO,AEROPORTO/SANTANA,VD. GAL EUCLIDES DE FIGUEIREDO,17:49,18:00,INTRANSITÁVEL
18/01/2019,Zona Sul,M'Boi Mirim,AV. MARIA COELHO AGUIAR,BAIRRO/CENTRO,ALTURA DO NÚMERO 1447,17:51,18:14,TRANSITÁVEL
18/01/2019,Zona Sul,Santo Amaro,R. MIGUEL YUNES,INTERLAGOS/MARGINAL,AV INTERLAGOS,16:55,18:07,TRANSITÁVEL
19/01/2019,Zona Oeste,Butantã,AV. PROF FRANCISCO MORATO,AMBOS - LOCAL,AV. GAL FRANCISCO MORAZAN,19:42,20:19,INTRANSITÁVEL
19/01/2019,Zona Oeste,Butantã,AV. JULES RIMET,AMBOS,AV. PDE LEBRET,20:01,21:30,INTRANSITÁVEL
